current_url,source_file,output_file,page_type,canonical_url,current_status,indexable,in_sitemap,action,redirect_target,archive_path,notes
https://senseisandy.com/pricing-module/,src/pricing-module.html,dist/pricing-module.html,general,https://senseisandy.com/pricing-module/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/my-promise-short/,src/my-promise-short.html,dist/my-promise-short.html,general,https://senseisandy.com/my-promise-short/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/cta-primary/,src/cta-primary.html,dist/cta-primary.html,general,https://senseisandy.com/cta-primary/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-faqs/,src/bjj-faqs.html,dist/bjj-faqs.html,general,https://senseisandy.com/bjj-faqs/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/scribners-staff-reset-pass/,src/scribners-staff-reset-pass.html,dist/scribners-staff-reset-pass.html,general,https://senseisandy.com/scribners-staff-reset-pass/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/cta-header/,src/cta-header.html,dist/cta-header.html,general,https://senseisandy.com/cta-header/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/rural-bjj-catskills/,src/rural-bjj-catskills.html,dist/rural-bjj-catskills.html,general,https://senseisandy.com/rural-bjj-catskills/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/,src/index.html,dist/index.html,homepage,https://senseisandy.com/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj_anatomy_game/,src/bjj_anatomy_game.html,dist/bjj_anatomy_game.html,general,https://senseisandy.com/bjj_anatomy_game/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/summer-jiu-jitsu-tannersville/,src/summer-jiu-jitsu-tannersville.html,dist/summer-jiu-jitsu-tannersville.html,general,https://senseisandy.com/summer-jiu-jitsu-tannersville/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/student-hub/,src/student-hub.html,dist/student-hub.html,general,https://senseisandy.com/student-hub/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/holiday-schedule/,src/holiday-schedule.html,dist/holiday-schedule.html,general,https://senseisandy.com/holiday-schedule/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/cta-footer/,src/cta-footer.html,dist/cta-footer.html,general,https://senseisandy.com/cta-footer/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/footer-partner/,src/footer-partner.html,dist/footer-partner.html,general,https://senseisandy.com/footer-partner/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/partners-wellness-pt-referrals/,src/partners-wellness-pt-referrals.html,dist/partners-wellness-pt-referrals.html,general,https://senseisandy.com/partners-wellness-pt-referrals/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/local-bjj-tournaments-for-parents/,src/local-bjj-tournaments-for-parents.html,dist/local-bjj-tournaments-for-parents.html,general,https://senseisandy.com/local-bjj-tournaments-for-parents/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/school-families-jiu-jitsu/,src/school-families-jiu-jitsu.html,dist/school-families-jiu-jitsu.html,general,https://senseisandy.com/school-families-jiu-jitsu/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/nearby-towns/,src/nearby-towns.html,dist/nearby-towns.html,general,https://senseisandy.com/nearby-towns/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/annual-track/,src/annual-track.html,dist/annual-track.html,general,https://senseisandy.com/annual-track/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/community-partners/,src/community-partners.html,dist/community-partners.html,general,https://senseisandy.com/community-partners/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/scribners-jiu-jitsu/,src/scribners-jiu-jitsu.html,dist/scribners-jiu-jitsu.html,general,https://senseisandy.com/scribners-jiu-jitsu/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/lane-picker/,src/lane-picker.html,dist/lane-picker.html,general,https://senseisandy.com/lane-picker/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/waiver/,src/waiver.html,dist/waiver.html,general,https://senseisandy.com/waiver/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/guarantee-terms/,src/guarantee-terms.html,dist/guarantee-terms.html,general,https://senseisandy.com/guarantee-terms/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bio/,src/bio.html,dist/bio.html,general,https://senseisandy.com/bio/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/schedule/,src/schedule.html,dist/schedule.html,schedule,https://senseisandy.com/schedule/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/phoenicia-diner/,src/phoenicia-diner.html,dist/phoenicia-diner.html,general,https://senseisandy.com/phoenicia-diner/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/contact/,src/contact.html,dist/contact.html,general,https://senseisandy.com/contact/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/scribners-thank-you/,src/scribners-thank-you.html,dist/scribners-thank-you.html,general,https://senseisandy.com/scribners-thank-you/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/show-up-kit/,src/show-up-kit.html,dist/show-up-kit.html,general,https://senseisandy.com/show-up-kit/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/how-class-works/,src/how-class-works.html,dist/how-class-works.html,general,https://senseisandy.com/how-class-works/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-tannersville-ny-directions/,src/bjj-tannersville-ny-directions.html,dist/bjj-tannersville-ny-directions.html,general,https://senseisandy.com/bjj-tannersville-ny-directions/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/after-school/,src/after-school.html,dist/after-school.html,general,https://senseisandy.com/after-school/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/core-culture-parent-guide/,src/core-culture-parent-guide.html,dist/core-culture-parent-guide.html,general,https://senseisandy.com/core-culture-parent-guide/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/clean/,src/clean.html,dist/clean.html,general,https://senseisandy.com/clean/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/law-enforcement-bjj/,src/law-enforcement-bjj.html,dist/law-enforcement-bjj.html,general,https://senseisandy.com/law-enforcement-bjj/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/near/template/,src/near/template.html,dist/near/template.html,general,https://senseisandy.com/near/template/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/near/hunter-ny/,src/near/hunter-ny/index.html,dist/near/hunter-ny/index.html,general,https://senseisandy.com/near/hunter-ny/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/near/haines-falls-ny/,src/near/haines-falls-ny/index.html,dist/near/haines-falls-ny/index.html,general,https://senseisandy.com/near/haines-falls-ny/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/near/cairo-ny/,src/near/cairo-ny/index.html,dist/near/cairo-ny/index.html,general,https://senseisandy.com/near/cairo-ny/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/near/windham-ny/,src/near/windham-ny/index.html,dist/near/windham-ny/index.html,general,https://senseisandy.com/near/windham-ny/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/near/catskill-ny/,src/near/catskill-ny/index.html,dist/near/catskill-ny/index.html,general,https://senseisandy.com/near/catskill-ny/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/near/palenville-ny/,src/near/palenville-ny/index.html,dist/near/palenville-ny/index.html,general,https://senseisandy.com/near/palenville-ny/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/frames/,src/frames/index.html,dist/frames/index.html,general,https://senseisandy.com/frames/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/front-headlock-series/,src/front-headlock-series/index.html,dist/front-headlock-series/index.html,general,https://senseisandy.com/front-headlock-series/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/drilling/,src/drilling/index.html,dist/drilling/index.html,general,https://senseisandy.com/drilling/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/,src/bjj-glossary/index.html,dist/bjj-glossary/index.html,general,https://senseisandy.com/bjj-glossary/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/kimura/,src/bjj-glossary/kimura/index.html,dist/bjj-glossary/kimura/index.html,general,https://senseisandy.com/bjj-glossary/kimura/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/pressure/,src/bjj-glossary/pressure/index.html,dist/bjj-glossary/pressure/index.html,general,https://senseisandy.com/bjj-glossary/pressure/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/butterfly-guard/,src/bjj-glossary/butterfly-guard/index.html,dist/bjj-glossary/butterfly-guard/index.html,general,https://senseisandy.com/bjj-glossary/butterfly-guard/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/double-leg/,src/bjj-glossary/double-leg/index.html,dist/bjj-glossary/double-leg/index.html,general,https://senseisandy.com/bjj-glossary/double-leg/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/posture-recovery/,src/bjj-glossary/posture-recovery/index.html,dist/bjj-glossary/posture-recovery/index.html,general,https://senseisandy.com/bjj-glossary/posture-recovery/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/sprawl/,src/bjj-glossary/sprawl/index.html,dist/bjj-glossary/sprawl/index.html,general,https://senseisandy.com/bjj-glossary/sprawl/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/frames/,src/bjj-glossary/frames/index.html,dist/bjj-glossary/frames/index.html,general,https://senseisandy.com/bjj-glossary/frames/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/whizzer-defense/,src/bjj-glossary/whizzer-defense/index.html,dist/bjj-glossary/whizzer-defense/index.html,general,https://senseisandy.com/bjj-glossary/whizzer-defense/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/no-gi/,src/bjj-glossary/no-gi/index.html,dist/bjj-glossary/no-gi/index.html,general,https://senseisandy.com/bjj-glossary/no-gi/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/go-behind-defense/,src/bjj-glossary/go-behind-defense/index.html,dist/bjj-glossary/go-behind-defense/index.html,general,https://senseisandy.com/bjj-glossary/go-behind-defense/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/body-lock-pass/,src/bjj-glossary/body-lock-pass/index.html,dist/bjj-glossary/body-lock-pass/index.html,general,https://senseisandy.com/bjj-glossary/body-lock-pass/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/outside-trip/,src/bjj-glossary/outside-trip/index.html,dist/bjj-glossary/outside-trip/index.html,general,https://senseisandy.com/bjj-glossary/outside-trip/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/single-leg/,src/bjj-glossary/single-leg/index.html,dist/bjj-glossary/single-leg/index.html,general,https://senseisandy.com/bjj-glossary/single-leg/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/posture/,src/bjj-glossary/posture/index.html,dist/bjj-glossary/posture/index.html,general,https://senseisandy.com/bjj-glossary/posture/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/crossface-pressure/,src/bjj-glossary/crossface-pressure/index.html,dist/bjj-glossary/crossface-pressure/index.html,general,https://senseisandy.com/bjj-glossary/crossface-pressure/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/leg-entanglement/,src/bjj-glossary/leg-entanglement/index.html,dist/bjj-glossary/leg-entanglement/index.html,general,https://senseisandy.com/bjj-glossary/leg-entanglement/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/open-guard/,src/bjj-glossary/open-guard/index.html,dist/bjj-glossary/open-guard/index.html,general,https://senseisandy.com/bjj-glossary/open-guard/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/double-leg-defense/,src/bjj-glossary/double-leg-defense/index.html,dist/bjj-glossary/double-leg-defense/index.html,general,https://senseisandy.com/bjj-glossary/double-leg-defense/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/front-headlock-series/,src/bjj-glossary/front-headlock-series/index.html,dist/bjj-glossary/front-headlock-series/index.html,general,https://senseisandy.com/bjj-glossary/front-headlock-series/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/ankle-lock/,src/bjj-glossary/ankle-lock/index.html,dist/bjj-glossary/ankle-lock/index.html,general,https://senseisandy.com/bjj-glossary/ankle-lock/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/guard-pass/,src/bjj-glossary/guard-pass/index.html,dist/bjj-glossary/guard-pass/index.html,general,https://senseisandy.com/bjj-glossary/guard-pass/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/posture-break/,src/bjj-glossary/posture-break/index.html,dist/bjj-glossary/posture-break/index.html,general,https://senseisandy.com/bjj-glossary/posture-break/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/body-lock/,src/bjj-glossary/body-lock/index.html,dist/bjj-glossary/body-lock/index.html,general,https://senseisandy.com/bjj-glossary/body-lock/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/guard-pull/,src/bjj-glossary/guard-pull/index.html,dist/bjj-glossary/guard-pull/index.html,general,https://senseisandy.com/bjj-glossary/guard-pull/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/crossface/,src/bjj-glossary/crossface/index.html,dist/bjj-glossary/crossface/index.html,general,https://senseisandy.com/bjj-glossary/crossface/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/drilling/,src/bjj-glossary/drilling/index.html,dist/bjj-glossary/drilling/index.html,general,https://senseisandy.com/bjj-glossary/drilling/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/guard-retention/,src/bjj-glossary/guard-retention/index.html,dist/bjj-glossary/guard-retention/index.html,general,https://senseisandy.com/bjj-glossary/guard-retention/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/armbar/,src/bjj-glossary/armbar/index.html,dist/bjj-glossary/armbar/index.html,general,https://senseisandy.com/bjj-glossary/armbar/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-glossary/bully-proof/,src/bjj-glossary/bully-proof/index.html,dist/bjj-glossary/bully-proof/index.html,general,https://senseisandy.com/bjj-glossary/bully-proof/,200,true,true,keep,,,Release 4 URL inventory
