url,inlink_count,source_type_count,source_types,sample_sources,status
https://senseisandy.com/videos/bjj-pressure-concepts-paint-brush-elbow-chest-compression-kcbwc0djxp4,12,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/adults.html|videos/index.html|videos/rear-naked-choke-rnc-mount-escape-spiderweb-armbar-bjj-p8uneazvowk.html|videos/rear-naked-choke-rnc-mount-escape-spiderweb-armbar-p8uneazvowk.html,pass
https://senseisandy.com/videos/bjj-pressure-concepts-paint-brush-elbow-chest-compression-north-south-control-kcbwC0dJXP4,2,1,video-related,videos/rear-naked-choke-rnc-mount-escape-spiderweb-armbar-bjj-class-breakdown-P8UneaZvoWk.html|videos/safe-stand-ups-knee-pick-bulldog-front-headlock-north-south-choke-bjj-class-B8X5bI-3THU.html,fail
https://senseisandy.com/videos/bjj-teens-tannersville-wednesday-no-gi-submission-wrestling-rr8NoQAaumU,0,0,,,fail
https://senseisandy.com/videos/brazilian-jiu-jitsu-beginner-intro-wednesday-no-gi-RWEVpph8AeI,9,1,video-related,videos/4pm-kids-5K-uN3MYncU.html|videos/angle-b-cows-sharks-and-bears-oh-my-in-tannersville-brazilian-jiu-jitsu-class-TIparvZ3974.html|videos/friday-tannersville-kids-bjj-qf48JtbhJug.html|videos/kids-bjj-safety-class-side-breakfall-don-t-fall-like-a-banana-stability-ball-wrestling-lkW9SJ9v2TI.html|videos/kids-bjj-safety-class-side-breakfalls-grip-breaks-recovery-drills-retention-games-y1lu5dHnQak.html,fail
https://senseisandy.com/videos/brazilian-jiu-jitsu-beginner-intro-wednesday-no-gi-rwevpph8aei,24,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/4pm-kids-5k-un3myncu.html|videos/adults.html|videos/angle-b-cows-sharks-and-bears-oh-my-in-tannersville-tiparvz3974.html|videos/angle-b-cows-sharks-bears-oh-my-tannersville-tiparvz3974.html,pass
https://senseisandy.com/videos/brazilian-jiu-jitsu-teens-wednesday-no-gi-EtZMjYZFgKk,1,1,video-related,videos/teens-brazilian-jiu-jitsu-chokes-self-defense-LFeW-qWwdgQ.html,fail
https://senseisandy.com/videos/brazilian-jiu-jitsu-teens-wednesday-no-gi-etzmjyzfgkk,9,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/index.html|videos/submissions.html|videos/teens-brazilian-jiu-jitsu-chokes-self-defense-lfew-qwwdgq.html|videos/teens.html,pass
https://senseisandy.com/videos/breakfalls-beginners-3-safe-get-ups-arm-triangle-ioek3l5oqhy,14,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/adults.html|videos/angle-b-cows-sharks-bears-oh-my-tannersville-tiparvz3974.html|videos/bjj-fundamentals-catskills-belt-tie-breakfalls-mount-escape-ecxel1po6ue.html|videos/breakfalls.html,pass
https://senseisandy.com/videos/breakfalls-for-beginners-3-safe-get-ups-arm-triangle-finish-bjj-class-games-Ioek3l5oqhY,5,1,video-related,videos/angle-b-cows-sharks-and-bears-oh-my-in-tannersville-brazilian-jiu-jitsu-class-TIparvZ3974.html|videos/bjj-fundamentals-in-the-catskills-belt-tie-breakfalls-mount-escape-crackdown-crucifix-ecxeL1PO6UE.html|videos/how-to-stand-up-safely-in-bjj-kickstand-head-position-3-get-ups-loop-choke-finish-zmmVEl-pf2U.html|videos/kids-adults-bjj-class-breakfalls-grip-breaking-pogo-stick-pass-takedown-cross-body-pin-uk16CCtsKk8.html|videos/safe-stand-ups-knee-pick-bulldog-front-headlock-north-south-choke-bjj-class-B8X5bI-3THU.html,fail
https://senseisandy.com/videos/breakfalls-for-beginners-3-safe-get-ups-arm-triangle-ioek3l5oqhy,5,1,video-related,videos/angle-b-cows-sharks-and-bears-oh-my-in-tannersville-tiparvz3974.html|videos/bjj-fundamentals-in-the-catskills-belt-tie-breakfalls-ecxel1po6ue.html|videos/how-to-stand-up-safely-in-bjj-kickstand-head-position-3-zmmvel-pf2u.html|videos/kids-adults-bjj-class-breakfalls-grip-breaking-pogo-stick-uk16cctskk8.html|videos/safe-stand-ups-knee-pick-bulldog-front-headlock-north-b8x5bi-3thu.html,fail
https://senseisandy.com/videos/cow-tip-takedown-chest-control-plus-50-escape-rr8noqaaumu,10,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/adults.html|videos/index.html|videos/rear-naked-choke-mata-leao-details-guard-retention-beinaonoezg.html|videos/submissions.html,pass
https://senseisandy.com/videos/cow-tip-takedown-chest-to-chest-control-plus-50-50-escape-game-bjj-class-rr8NoQAaumU,2,1,video-related,videos/rear-naked-choke-mata-le-o-details-guard-retention-basics-beginner-bjj-class-BeINaONoezg.html|videos/tuesday-tannersville-brazilian-jiu-jitsu-xXScA476zuE.html,fail
https://senseisandy.com/videos/cow-tip-takedown-chest-to-chest-control-plus-50-50-escape-rr8noqaaumu,1,1,video-related,videos/rear-naked-choke-mata-le-o-details-guard-retention-basics-beinaonoezg.html,fail
https://senseisandy.com/videos/friday-9-30am-Hc-5NaiXKFw,1,1,video-related,videos/6pm-adults-NS5gBmsJW9I.html,fail
https://senseisandy.com/videos/friday-9-30am-hc-5naixkfw,2,1,video-related,videos/6-pm-bjj-class-preview-session-1-l5hh632g2h4.html|videos/6pm-adults-ns5gbmsjw9i.html,fail
https://senseisandy.com/videos/friday-tIcb1N-nMgc,1,1,video-related,videos/wednesday-GFcByYHrou4.html,fail
