url,intended_source,local_file_present,reachable_from_home,incoming_internal_links,sample_sources,status
https://senseisandy.com/bjj-glossary/double-leg-defense,local+self_sitemap,yes,yes,1,/bjj-glossary,pass
https://senseisandy.com/bjj-glossary/elbow-knee-escape,local+self_sitemap,yes,yes,2,/bjj-glossary|/bjj-glossary/escape,pass
https://senseisandy.com/bjj-glossary/escape,local+self_sitemap,yes,yes,9,/bjj-glossary|/bjj-glossary/bottom-position|/bjj-glossary/bully-proof|/bjj-glossary/position|/bjj-glossary/roll|/bjj-glossary/safety,pass
https://senseisandy.com/bjj-glossary/flower-sweep,local+self_sitemap,yes,yes,1,/bjj-glossary,pass
https://senseisandy.com/bjj-glossary/frame,local+self_sitemap,yes,yes,17,/bjj-glossary|/bjj-glossary/beginner-lane|/bjj-glossary/bully-proof|/bjj-glossary/escape|/bjj-glossary/guard|/bjj-glossary/guard-retention,pass
https://senseisandy.com/bjj-glossary/frame-recovery,local+self_sitemap,yes,yes,5,/bjj-glossary|/bjj-glossary/crossface-defense|/bjj-glossary/guard-recovery|/bjj-glossary/hip-escape|/bjj-glossary/torreando-defense,pass
https://senseisandy.com/bjj-glossary/front-headlock,local+self_sitemap,yes,yes,19,/bjj-glossary|/bjj-glossary/back-take|/bjj-glossary/collar-tie|/bjj-glossary/double-leg-defense|/bjj-glossary/front-headlock-escape|/bjj-glossary/front-headlock-series,pass
https://senseisandy.com/bjj-glossary/gi,local+self_sitemap,yes,yes,7,/bjj-glossary|/bjj-glossary/collar-grip|/bjj-glossary/cross-collar-choke|/bjj-glossary/grip|/bjj-glossary/lapel-grip|/bjj-glossary/no-gi,pass
https://senseisandy.com/bjj-glossary/go-behind,local+self_sitemap,yes,yes,6,/bjj-glossary|/bjj-glossary/front-headlock-series|/bjj-glossary/go-behind-defense|/bjj-glossary/scramble|/bjj-glossary/spin-behind|/front-headlock-series,pass
https://senseisandy.com/bjj-glossary/go-behind-defense,local+self_sitemap,yes,yes,1,/bjj-glossary,pass
https://senseisandy.com/bjj-glossary/granby-roll,local+self_sitemap,yes,yes,1,/bjj-glossary,pass
https://senseisandy.com/bjj-glossary/grip,local+self_sitemap,yes,yes,22,/bjj-glossary|/bjj-glossary/bottom-position|/bjj-glossary/choke|/bjj-glossary/collar-grip|/bjj-glossary/drilling|/bjj-glossary/frames,pass
https://senseisandy.com/bjj-glossary/grip-fighting,local+self_sitemap,yes,yes,12,/bjj-glossary|/bjj-glossary/arm-drag|/bjj-glossary/collar-tie|/bjj-glossary/grip|/bjj-glossary/neutral-position|/bjj-glossary/overhook,pass
https://senseisandy.com/bjj-glossary/guard,local+self_sitemap,yes,yes,54,/bjj-glossary|/bjj-glossary/armbar|/bjj-glossary/back-control|/bjj-glossary/bottom-position|/bjj-glossary/choke|/bjj-glossary/closed-guard,pass
https://senseisandy.com/bjj-glossary/guard-pass,local+self_sitemap,yes,yes,10,/bjj-glossary|/bjj-glossary/backstep-pass|/bjj-glossary/body-lock-pass|/bjj-glossary/crossface-pressure|/bjj-glossary/heavy-hips|/bjj-glossary/leg-drag,pass
https://senseisandy.com/bjj-glossary/guard-pull,local+self_sitemap,yes,yes,2,/bjj-glossary|/bjj-glossary/seated-guard,pass
