"URL","HTTP Status","Robots Meta","Canonical","Page Title","X-Robots-Tag","Internal Links In","Word Count","Search Purpose","Action","Final Robots","Redirect Target","Sitemap","Last Modified","Reason"
"https://senseisandy.com/bjj-classes/stamford-ny","410","noindex, follow","https://senseisandy.com/bjj-classes/stamford-ny","Brazilian Jiu-Jitsu in Stamford, NY | Sensei Sandy BJJ","","1","1106","location","REMOVE","","","no","2026-07-29",""
"https://senseisandy.com/bjj-classes/tannersville-ny","200","index, follow","https://senseisandy.com/bjj-classes/tannersville-ny","Brazilian Jiu-Jitsu in Tannersville, NY | Sensei Sandy BJJ","","353","684","location","INDEX","index, follow","","yes","2026-07-29",""
"https://senseisandy.com/bjj-classes/teens-tannersville-ny","200","index, follow","https://senseisandy.com/bjj-classes/teens-tannersville-ny","Teen Self-Defense &amp;amp; Jiu-Jitsu Tannersville NY | Sensei Sandy","","477","629","program","INDEX","index, follow","","yes","2026-07-29",""
"https://senseisandy.com/bjj-classes/windham-ny","200","index, follow","https://senseisandy.com/bjj-classes/windham-ny","Brazilian Jiu-Jitsu Near Windham, NY | Sensei Sandy BJJ","","379","825","location","INDEX","index, follow","","yes","2026-07-29",""
"https://senseisandy.com/bjj-classes/woodstock-ny","200","index, follow","https://senseisandy.com/bjj-classes/woodstock-ny","Brazilian Jiu-Jitsu Near Woodstock, NY | Sensei Sandy BJJ","","0","429","location","INDEX","index, follow","","yes","2026-08-11",""
"https://senseisandy.com/bjj-faqs","200","index, follow","https://senseisandy.com/bjj-faqs","BJJ FAQs &amp;amp; Instructor Lineage | Sensei Sandy Tannersville NY","","355","1288","core","INDEX","index, follow","","yes","2026-07-29",""
"https://senseisandy.com/bjj-glossary","200","index, follow","https://senseisandy.com/bjj-glossary","BJJ Glossary for Beginners | Sensei Sandy BJJ","","1547","5860","glossary","INDEX","index, follow","","yes","2026-07-29",""
"https://senseisandy.com/bjj-glossary/ankle-lock","200","index, follow","https://senseisandy.com/bjj-glossary/ankle-lock","Ankle Lock in BJJ: Meaning, Basics, and Why It Matters","","15","629","glossary","INDEX","index, follow","","yes","2026-07-29",""
"https://senseisandy.com/bjj-glossary/ankle-pick","200","index, follow","https://senseisandy.com/bjj-glossary/ankle-pick","Ankle Pick in BJJ, Meaning, Basics, and Why It Matters","","4","669","glossary","INDEX","index, follow","","yes","2026-07-29",""
"https://senseisandy.com/bjj-glossary/anti-bullying","301","noindex, follow","https://senseisandy.com/bjj-glossary/bully-proof","","","0","","archive","REDIRECT","","https://senseisandy.com/bjj-glossary/bully-proof","no","2026-07-29",""
"https://senseisandy.com/bjj-glossary/arm-drag","200","index, follow","https://senseisandy.com/bjj-glossary/arm-drag","What Is an Arm Drag in BJJ? | Sensei Sandy","","37","639","glossary","INDEX","index, follow","","yes","2026-07-29",""
"https://senseisandy.com/bjj-glossary/armbar","200","index, follow","https://senseisandy.com/bjj-glossary/armbar","Armbar in BJJ | What an Armbar Means in Brazilian Jiu Jitsu","","45","604","glossary","INDEX","index, follow","","yes","2026-07-29",""
"https://senseisandy.com/bjj-glossary/back-control","200","index, follow","https://senseisandy.com/bjj-glossary/back-control","What Is Back Control in BJJ? | Sensei Sandy","","70","589","glossary","INDEX","index, follow","","yes","2026-07-29",""
"https://senseisandy.com/bjj-glossary/back-defense","200","index, follow","https://senseisandy.com/bjj-glossary/back-defense","Back Defense in BJJ, Meaning, Basics, and Why It Matters","","11","647","glossary","INDEX","index, follow","","yes","2026-07-29",""
"https://senseisandy.com/bjj-glossary/back-take","200","index, follow","https://senseisandy.com/bjj-glossary/back-take","What Is a Back Take in BJJ? | Sensei Sandy","","20","664","glossary","INDEX","index, follow","","yes","2026-07-29",""
"https://senseisandy.com/bjj-glossary/backstep-pass","200","index, follow","https://senseisandy.com/bjj-glossary/backstep-pass","Backstep Pass in BJJ, Meaning, Basics, and Why It Matters","","4","697","glossary","INDEX","index, follow","","yes","2026-07-29",""
"https://senseisandy.com/bjj-glossary/base","200","index, follow","https://senseisandy.com/bjj-glossary/base","What Is Base in BJJ? | Sensei Sandy","","50","566","glossary","INDEX","index, follow","","yes","2026-07-29",""
"https://senseisandy.com/bjj-glossary/beginner-lane","200","index, follow","https://senseisandy.com/bjj-glossary/beginner-lane","Beginner Lane in BJJ: First-Class Meaning | Sensei Sandy","","6","597","glossary","INDEX","index, follow","","yes","2026-07-29",""
"https://senseisandy.com/bjj-glossary/beginner-on-ramp","301","noindex, follow","https://senseisandy.com/bjj-glossary/beginner-lane","","","0","","archive","REDIRECT","","https://senseisandy.com/bjj-glossary/beginner-lane","no","2026-07-29",""
"https://senseisandy.com/bjj-glossary/bjj-safety","301","noindex, follow","https://senseisandy.com/bjj-glossary/safety","","","0","","archive","REDIRECT","","https://senseisandy.com/bjj-glossary/safety","no","2026-07-29",""
"https://senseisandy.com/bjj-glossary/body-lock","200","index, follow","https://senseisandy.com/bjj-glossary/body-lock","What Is a Body Lock in BJJ? | Sensei Sandy","","46","629","glossary","INDEX","index, follow","","yes","2026-07-29",""
"https://senseisandy.com/bjj-glossary/body-lock-pass","200","index, follow","https://senseisandy.com/bjj-glossary/body-lock-pass","Body-Lock Pass in BJJ, Meaning, Basics, and Why It Matters","","2","672","glossary","INDEX","index, follow","","yes","2026-07-29",""
"https://senseisandy.com/bjj-glossary/bottom-position","200","noindex, follow","https://senseisandy.com/bjj-glossary/bottom-position","","","10","610","glossary","NOINDEX, FOLLOW","noindex, follow","","no","2026-07-29",""
"https://senseisandy.com/bjj-glossary/bridge","200","index, follow","https://senseisandy.com/bjj-glossary/bridge","What Is a Bridge in BJJ? | Sensei Sandy","","17","576","glossary","INDEX","index, follow","","yes","2026-07-29",""
"https://senseisandy.com/bjj-glossary/bridge-and-roll","301","noindex, follow","https://senseisandy.com/bjj-glossary/upa-escape","","","0","","archive","REDIRECT","","https://senseisandy.com/bjj-glossary/upa-escape","no","2026-07-29",""
"https://senseisandy.com/bjj-glossary/bully-proof","200","index, follow","https://senseisandy.com/bjj-glossary/bully-proof","Bully Proof in Kids BJJ: Beginner Meaning | Sensei Sandy","","5","586","glossary","INDEX","index, follow","","yes","2026-07-29",""
"https://senseisandy.com/bjj-glossary/bullyproof","301","noindex, follow","https://senseisandy.com/bjj-glossary/bully-proof","","","0","","archive","REDIRECT","","https://senseisandy.com/bjj-glossary/bully-proof","no","2026-07-29",""
"https://senseisandy.com/bjj-glossary/butterfly-guard","200","index, follow","https://senseisandy.com/bjj-glossary/butterfly-guard","What Is Butterfly Guard in BJJ? | Sensei Sandy","","16","596","glossary","INDEX","index, follow","","yes","2026-07-29",""
"https://senseisandy.com/bjj-glossary/butterfly-hook","200","index, follow","https://senseisandy.com/bjj-glossary/butterfly-hook","What Is a Butterfly Hook in BJJ? | Sensei Sandy","","13","606","glossary","INDEX","index, follow","","yes","2026-07-29",""
"https://senseisandy.com/bjj-glossary/butterfly-sweep","200","index, follow","https://senseisandy.com/bjj-glossary/butterfly-sweep","What Is a Butterfly Sweep in BJJ? | Sensei Sandy","","3","662","glossary","INDEX","index, follow","","yes","2026-07-29",""
"https://senseisandy.com/bjj-glossary/chest-to-back","200","index, follow","https://senseisandy.com/bjj-glossary/chest-to-back","Chest to Back in BJJ, Meaning, Basics, and Why It Matters","","9","646","glossary","INDEX","index, follow","","yes","2026-07-29",""
"https://senseisandy.com/bjj-glossary/chest-to-chest","200","index, follow","https://senseisandy.com/bjj-glossary/chest-to-chest","Chest to Chest in BJJ: Meaning, Basics, and Why It Matters","","17","625","glossary","INDEX","index, follow","","yes","2026-07-29",""
